num_training_examples_observed,loss
0,2.9361374378204346
200,2.9029529094696045
400,2.8338124752044678
600,2.987860679626465
800,2.979991912841797
1000,2.9581527709960938
1200,2.9557278156280518
1400,2.9210941791534424
1600,2.8053667545318604
1800,2.9378843307495117
2000,2.9689180850982666
2200,2.8990416526794434
2400,2.7508926391601562
2600,2.9668705463409424
2800,2.6996686458587646
3000,3.0477020740509033
3200,2.9157824516296387
3400,2.8227429389953613
3600,3.0085859298706055
3800,3.041867733001709
4000,2.9367520809173584
4200,2.8063676357269287
4400,3.0649170875549316
4600,3.1050357818603516
4800,2.8049538135528564
5000,2.63478422164917
5200,2.618206739425659
5400,2.9574921131134033
5600,2.6054375171661377
5800,2.616313934326172
6000,2.7268459796905518
6200,2.542998790740967
6400,3.0905978679656982
6600,2.7385661602020264
6800,2.730717182159424
7000,2.5061190128326416
7200,3.154093027114868
7400,2.7204134464263916
7600,3.3188133239746094
7800,3.1296138763427734
8000,2.7172763347625732
8200,3.1231186389923096
8400,2.432476043701172
8600,2.78202223777771
8800,3.287972927093506
9000,2.7943320274353027
9200,3.2429370880126953
9400,3.211918830871582
9600,2.3800060749053955
9800,3.2685608863830566
10000,2.3978612422943115
10200,2.6626131534576416
10400,3.035141944885254
10600,2.47021746635437
10800,3.3119401931762695
11000,3.2934646606445312
11200,2.9699268341064453
11400,3.2813782691955566
11600,2.4154129028320312
11800,2.367398738861084
12000,3.2271833419799805
12200,3.2873318195343018
12400,2.4067816734313965
12600,2.725905179977417
12800,2.8473825454711914
13000,3.337641954421997
13200,2.8520684242248535
13400,3.5325214862823486
13600,3.098210334777832
13800,2.4652884006500244
14000,3.3205106258392334
14200,3.5553653240203857
14400,3.3117451667785645
14600,2.6065831184387207
14800,2.4685301780700684
15000,3.547602891921997
15200,2.5906946659088135
15400,2.3330764770507812
15600,2.8135952949523926
15800,2.8218743801116943
16000,3.286555767059326
16200,3.1035358905792236
16400,3.123631000518799
16600,2.840658187866211
16800,2.3433499336242676
17000,2.2592928409576416
17200,3.0663914680480957
17400,2.6106083393096924
17600,2.601114273071289
17800,3.338686943054199
18000,2.6243903636932373
18200,2.642036199569702
18400,2.8656280040740967
18600,3.0143954753875732
18800,2.6429779529571533
19000,3.100088596343994
19200,2.484891414642334
19400,3.6890757083892822
19600,2.3819546699523926
19800,3.0197505950927734
20000,2.425513744354248
20200,2.3491764068603516
20400,2.4018161296844482
20600,2.834226608276367
20800,2.419511079788208
21000,2.3775696754455566
21200,3.392213821411133
21400,2.3376426696777344
21600,2.3226213455200195
21800,3.4483540058135986
22000,2.4049816131591797
22200,2.418884515762329
22400,3.050191879272461
22600,2.485409736633301
22800,2.3769633769989014
23000,2.752584457397461
23200,2.7067267894744873
23400,2.477412700653076
23600,2.659888744354248
23800,2.3158202171325684
24000,2.32147216796875
24200,3.06941294670105
24400,3.397167444229126
24600,2.4962735176086426
24800,2.4177160263061523
25000,2.515652656555176
25200,2.4721601009368896
25400,3.400765895843506
25600,2.7324881553649902
25800,4.34951114654541
26000,3.8322627544403076
26200,3.4456398487091064
26400,2.390531063079834
26600,3.7773146629333496
26800,2.499647617340088
27000,2.516413927078247
27200,2.7911996841430664
27400,2.4929745197296143
27600,3.478999137878418
27800,2.7519283294677734
28000,2.45965576171875
28200,2.4823434352874756
28400,2.2743020057678223
28600,2.8246777057647705
28800,3.071465253829956
29000,3.0587077140808105
29200,3.048063278198242
29400,2.8364334106445312
29600,2.8140249252319336
29800,3.2094039916992188
30000,3.177231788635254
30200,2.3770506381988525
30400,3.926234245300293
30600,2.572943925857544
30800,2.6229028701782227
31000,2.618016481399536
31200,3.131983995437622
31400,2.59126877784729
31600,3.9372527599334717
31800,3.1892752647399902
32000,2.566727638244629
32200,2.613980293273926
32400,3.9194531440734863
32600,4.3320441246032715
32800,2.6684563159942627
33000,2.54641056060791
33200,3.1891775131225586
33400,2.989612102508545
33600,2.460350275039673
33800,3.931655168533325
34000,2.885612964630127
34200,2.727623462677002
34400,2.8402485847473145
34600,3.8576550483703613
34800,3.8521487712860107
35000,3.3884894847869873
35200,2.4027371406555176
35400,2.4806859493255615
35600,4.324160575866699
35800,3.1650619506835938
36000,2.5304689407348633
36200,2.6402106285095215
36400,2.3814358711242676
36600,3.4305074214935303
36800,3.201204299926758
37000,2.4537596702575684
37200,2.3523905277252197
37400,2.871798038482666
37600,2.7278175354003906
37800,2.696553945541382
38000,2.5970568656921387
38200,2.818425416946411
38400,2.816471576690674
38600,2.262458086013794
38800,2.9673702716827393
39000,2.7522664070129395
39200,2.3742222785949707
39400,2.3287599086761475
39600,3.0712990760803223
39800,2.7207653522491455
40000,2.6974716186523438
40200,3.8743081092834473
40400,3.869201898574829
40600,2.3967158794403076
40800,2.3082754611968994
41000,3.0959384441375732
41200,2.4556281566619873
41400,3.069694757461548
41600,2.761702537536621
41800,2.4576189517974854
42000,2.3283536434173584
42200,2.556554079055786
42400,3.8691139221191406
42600,2.6961944103240967
42800,2.8414669036865234
43000,2.703289270401001
43200,2.81606125831604
43400,3.0591440200805664
43600,3.1101930141448975
43800,2.397665023803711
44000,3.4490020275115967
44200,3.0439696311950684
44400,2.6523349285125732
44600,2.382068395614624
44800,4.4610090255737305
45000,2.343820571899414
45200,2.3415112495422363
45400,3.901561975479126
45600,2.3239455223083496
45800,3.531707286834717
46000,2.357541084289551
46200,3.1953601837158203
46400,2.3867545127868652
46600,2.6162819862365723
46800,2.634044647216797
47000,2.2845230102539062
47200,2.75376033782959
47400,2.753452777862549
47600,3.1565535068511963
47800,2.8393630981445312
24000,3.7940120697021484
24200,2.8354651927948
24400,2.3350844383239746
24600,2.622612714767456
24800,3.3857808113098145
25000,2.832826614379883
25200,2.553257703781128
25400,2.5527610778808594
25600,2.452374219894409
25800,2.602508306503296
26000,3.485081911087036
26200,2.5455212593078613
26400,2.4153289794921875
26600,3.1835646629333496
26800,2.3501510620117188
27000,3.208240032196045
27200,2.8586645126342773
27400,2.510788917541504
27600,3.0934770107269287
27800,3.471034526824951
28000,2.8922677040100098
28200,2.491760730743408
28400,3.189676284790039
28600,3.366677761077881
28800,2.6518404483795166
29000,2.417750597000122
29200,2.412980079650879
29400,3.104250192642212
29600,2.2975518703460693
29800,2.4554080963134766
30000,2.5095455646514893
30200,2.2534661293029785
30400,3.156683921813965
30600,2.534832715988159
30800,2.560755968093872
31000,2.3399124145507812
31200,3.2415366172790527
31400,2.5443429946899414
31600,3.8157236576080322
31800,3.170213460922241
32000,2.565046787261963
32200,3.1493546962738037
32400,2.3031649589538574
32600,2.646395206451416
32800,3.510565757751465
33000,2.7146880626678467
33200,3.329782724380493
33400,3.2543978691101074
33600,2.2687788009643555
33800,3.3433642387390137
34000,2.3216962814331055
34200,2.5698294639587402
34400,3.0667877197265625
34600,2.4301536083221436
34800,3.445679187774658
35000,3.4135451316833496
35200,2.891205310821533
35400,3.3111557960510254
35600,2.3797690868377686
35800,2.324063777923584
36000,3.214695453643799
36200,3.367619276046753
36400,2.3806703090667725
36600,2.6499476432800293
36800,2.809081554412842
37000,3.350101947784424
37200,2.767585515975952
37400,3.7639245986938477
37600,3.102138042449951
37800,2.45881724357605
38000,3.368927478790283
38200,3.7607991695404053
38400,3.302046298980713
38600,2.5693910121917725
38800,2.4640698432922363
39000,3.7280142307281494
39200,2.556906223297119
39400,2.321251392364502
39600,2.780888557434082
39800,2.7909035682678223
40000,3.2631540298461914
40200,3.0577738285064697
40400,3.113666296005249
40600,2.790992259979248
40800,2.3412365913391113
41000,2.249276638031006
41200,3.0224499702453613
41400,2.592662811279297
41600,2.583003520965576
41800,3.3132224082946777
42000,2.6139988899230957
42200,2.629701614379883
42400,2.8317019939422607
42600,2.9709110260009766
42800,2.619438886642456
43000,3.0826072692871094
43200,2.483832597732544
43400,3.7912328243255615
43600,2.3861234188079834
43800,2.9817276000976562
44000,2.4213571548461914
44200,2.3529446125030518
44400,2.3969948291778564
44600,2.808279514312744
44800,2.4247848987579346
45000,2.372779607772827
45200,3.384683609008789
45400,2.3410398960113525
45600,2.3254404067993164
45800,3.420788288116455
46000,2.408900499343872
46200,2.4176394939422607
46400,3.0317559242248535
46600,2.480682373046875
46800,2.3811123371124268
47000,2.733471632003784
47200,2.6934242248535156
47400,2.477977752685547
47600,2.6517114639282227
47800,2.318840980529785
48000,2.32450532913208
48200,3.05354905128479
48400,3.3676042556762695
48600,2.494692087173462
48800,2.4175353050231934
49000,2.519282817840576
49200,2.4754960536956787
49400,3.371297597885132
49600,2.724259376525879
49800,4.580569267272949
50000,3.8575034141540527
50200,3.4161744117736816
50400,2.390275239944458
50600,3.812391996383667
50800,2.499978542327881
51000,2.5164875984191895
51200,2.781934976577759
51400,2.493387222290039
51600,3.462712526321411
51800,2.744295597076416
52000,2.461352825164795
52200,2.4816527366638184
52400,2.2765462398529053
52600,2.8186116218566895
52800,3.0597293376922607
53000,3.0474367141723633
53200,3.0372347831726074
53400,2.830965518951416
53600,2.8090755939483643
53800,3.193131446838379
54000,3.1605916023254395
54200,2.377838611602783
54400,3.9292616844177246
54600,2.5706982612609863
54800,2.621839761734009
55000,2.6171083450317383
55200,3.1194491386413574
55400,2.5911173820495605
55600,3.9370224475860596
55800,3.1741271018981934
56000,2.5651707649230957
56200,2.6129703521728516
56400,3.9167532920837402
56600,4.475268363952637
56800,2.6659185886383057
57000,2.5458154678344727
57200,3.1755385398864746
57400,2.984062910079956
57600,2.460892677307129
57800,3.9259371757507324
58000,2.8802850246429443
58200,2.7272305488586426
58400,2.835636615753174
58600,3.8614912033081055
58800,3.855532646179199
59000,3.3762154579162598
59200,2.403611660003662
59400,2.482205390930176
59600,4.441248416900635
59800,3.1551272869110107
60000,2.5295121669769287
60200,2.6405506134033203
60400,2.3818726539611816
60600,3.4132418632507324
60800,3.191483736038208
61000,2.452730655670166
61200,2.3562724590301514
61400,2.86698317527771
61600,2.7268357276916504
61800,2.694423198699951
62000,2.597189426422119
62200,2.8165791034698486
62400,2.814607858657837
62600,2.26442551612854
62800,2.9621450901031494
63000,2.752286195755005
63200,2.3761372566223145
63400,2.328019618988037
63600,3.065448760986328
63800,2.7220041751861572
64000,2.6972179412841797
64200,3.8714704513549805
64400,3.8665642738342285
64600,2.3969295024871826
64800,2.3087356090545654
65000,3.093792676925659
65200,2.4553334712982178
65400,3.0688276290893555
65600,2.7604868412017822
65800,2.4569783210754395
66000,2.3299036026000977
66200,2.5575170516967773
66400,3.865633726119995
66600,2.69594144821167
66800,2.839613199234009
67000,2.7018117904663086
67200,2.8157410621643066
67400,3.0567057132720947
67600,3.107597827911377
67800,2.3998594284057617
68000,3.441516876220703
68200,3.042595148086548
68400,2.6532082557678223
68600,2.3843204975128174
68800,4.52560567855835
69000,2.3417646884918213
69200,2.339388132095337
69400,3.8960046768188477
69600,2.3281896114349365
69800,3.5221199989318848
70000,2.358422040939331
70200,3.1848015785217285
70400,2.3871965408325195
70600,2.6195764541625977
70800,2.6330647468566895
71000,2.2849509716033936
