num_training_examples_observed,loss
0,2.9817192554473877
200,2.84924578666687
400,2.927371025085449
600,2.9229915142059326
800,3.0168683528900146
1000,2.846611261367798
1200,2.995473623275757
1400,2.8714592456817627
1600,2.914201259613037
1800,2.871504783630371
2000,3.038388967514038
2200,2.8299317359924316
1200,3.1448066234588623
1400,2.835399866104126
1600,2.8085641860961914
1800,2.82228946685791
2000,3.1003799438476562
2200,2.870980978012085
2400,2.8737101554870605
2600,2.7551214694976807
2800,2.7444119453430176
3000,2.783778667449951
3200,3.1642420291900635
3400,2.7417595386505127
2400,3.3125271797180176
2600,2.8266780376434326
2800,2.7233645915985107
3000,2.744659662246704
3200,3.1972272396087646
3400,2.8939342498779297
3600,2.7677414417266846
3800,2.655151128768921
4000,2.6007182598114014
4200,2.712435245513916
4400,3.302440881729126
4600,2.664674758911133
3600,3.4917006492614746
3800,2.8236353397369385
4000,2.6566519737243652
4200,2.679351568222046
4400,3.3025872707366943
4600,2.920278549194336
4800,2.672316074371338
5000,2.5729446411132812
5200,2.488718032836914
5400,2.6532702445983887
5600,3.4418725967407227
5800,2.597383499145508
4800,3.6700258255004883
5000,2.8220105171203613
5200,2.6036505699157715
5400,2.6263234615325928
5600,3.400059700012207
5800,2.9437882900238037
6000,2.594118118286133
6200,2.5150842666625977
6400,2.4206039905548096
6600,2.605774402618408
6800,3.5556788444519043
7000,2.5444555282592773
6000,3.811760902404785
6200,2.8207035064697266
6400,2.569904327392578
6600,2.5897223949432373
6800,3.4627184867858887
7000,2.954866647720337
7200,2.5432486534118652
7400,2.485950469970703
7600,2.399019956588745
7800,2.5792531967163086
8000,3.616884708404541
8200,2.512969493865967
7200,3.8940184116363525
7400,2.812086582183838
7600,2.5564751625061035
7800,2.5716769695281982
8000,3.487623691558838
8200,2.958482265472412
8400,2.5183424949645996
8600,2.4760923385620117
8800,2.3991453647613525
9000,2.5675013065338135
9200,3.633862018585205
9400,2.4989142417907715
8400,3.932776689529419
8600,2.8043060302734375
8800,2.553203821182251
9000,2.5654876232147217
9200,3.493821620941162
9400,2.958211898803711
9600,2.510312557220459
9800,2.472569227218628
10000,2.4015984535217285
10200,2.563749313354492
10400,3.635967254638672
10600,2.494006395339966
9600,3.9517600536346436
9800,2.7996175289154053
10000,2.5521576404571533
10200,2.5637736320495605
10400,3.493307590484619
10600,2.9573121070861816
10800,2.5071845054626465
11000,2.4699578285217285
11200,2.4027087688446045
11400,2.5627784729003906
11600,3.632246255874634
11800,2.4918220043182373
10800,3.959530830383301
11000,2.7962098121643066
11200,2.5520410537719727
11400,2.5637340545654297
11600,3.4898805618286133
11800,2.956467390060425
12000,2.5064074993133545
12200,2.4678313732147217
12400,2.4027347564697266
12600,2.563481092453003
12800,3.6298091411590576
13000,2.4907002449035645
12000,3.9628827571868896
12200,2.793177604675293
12400,2.5520124435424805
12600,2.564500331878662
12800,3.485708236694336
13000,2.9558725357055664
13200,2.5060434341430664
13400,2.465101480484009
13600,2.4018077850341797
13800,2.5638933181762695
14000,3.625680923461914
14200,2.489396333694458
13200,3.9615044593811035
13400,2.7905261516571045
13600,2.5522985458374023
13800,2.565086603164673
14000,3.480851411819458
14200,2.9559388160705566
14400,2.506551742553711
14600,2.4615252017974854
14800,2.39987850189209
15000,2.5645079612731934
15200,3.6251158714294434
15400,2.488173723220825
14400,3.9590842723846436
14600,2.7871127128601074
14800,2.552239179611206
15000,2.5657877922058105
15200,3.475750684738159
15400,2.9566245079040527
15600,2.5076491832733154
15800,2.4578044414520264
16000,2.3964648246765137
16200,2.56742525100708
16400,3.623903512954712
16600,2.4878616333007812
15600,3.9528675079345703
15800,2.7827699184417725
16000,2.55361270904541
16200,2.5666491985321045
16400,3.4681124687194824
16600,2.9573659896850586
16800,2.5081746578216553
17000,2.4496443271636963
17200,2.3937132358551025
17400,2.5706958770751953
17600,3.6257448196411133
17800,2.4872610569000244
16800,3.9414594173431396
17000,2.7766308784484863
17200,2.556525230407715
17400,2.5673892498016357
17600,3.4591376781463623
17800,2.9581034183502197
18000,2.5089001655578613
18200,2.432447910308838
18400,2.3898563385009766
18600,2.5763144493103027
18800,3.630801200866699
19000,2.4860379695892334
18000,3.9161770343780518
18200,2.7661831378936768
18400,2.56257963180542
18600,2.5692598819732666
18800,3.4461097717285156
19000,2.958649158477783
19200,2.5105338096618652
19400,2.404712677001953
19600,2.379455804824829
19800,2.5875473022460938
20000,3.635711908340454
20200,2.486849546432495
19200,3.860793113708496
19400,2.747715473175049
19600,2.5774974822998047
19800,2.5742897987365723
20000,3.4173803329467773
20200,2.9585800170898438
20400,2.514047384262085
20600,2.3389437198638916
20800,2.3557889461517334
21000,2.6154847145080566
21200,3.6466569900512695
21400,2.4918012619018555
20400,3.7539103031158447
20600,2.696017026901245
20800,2.614506959915161
21000,2.5878334045410156
21200,3.353074312210083
21400,2.9457030296325684
21600,2.510183811187744
21800,2.1636126041412354
22000,2.3117706775665283
22200,2.679112434387207
22400,3.6365983486175537
22600,2.503770112991333
21600,3.595637083053589
21800,2.6148810386657715
22000,2.720122814178467
22200,2.58561372756958
22400,3.2557342052459717
22600,2.877697706222534
22800,2.49031400680542
23000,1.9972368478775024
23200,2.2934646606445312
23400,2.7680752277374268
23600,3.5072216987609863
23800,2.454991102218628
22800,3.490973472595215
23000,2.528515338897705
23200,2.943650007247925
23400,2.5229334831237793
23600,3.1519675254821777
23800,2.737297296524048
24000,2.3882079124450684
24200,2.0640995502471924
24400,2.252330780029297
24600,3.093295097351074
24800,3.231668472290039
25000,2.2273521423339844
